shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4328_shp,42.29644,-85.6288,1,0
4328_shp,42.29662,-85.62881,2,65.653632
4328_shp,42.29676,-85.6289,3,122.186916
4328_shp,42.29682,-85.62898,4,152.953688
4328_shp,42.29689,-85.62912,5,198.620679
4328_shp,42.29676,-85.62922,6,253.17797
4328_shp,42.29617,-85.62938,7,472.507532
4328_shp,42.29569,-85.62935,8,647.623352
4328_shp,42.29005,-85.62932,9,2703.037718
4328_shp,42.28948,-85.62908,10,2920.678311
4328_shp,42.28883,-85.62847,11,3209.393587
4328_shp,42.28881,-85.62849,12,3218.471655
4328_shp,42.28867,-85.62847,13,3269.778355
4328_shp,42.28863,-85.62831,14,3315.460704
4328_shp,42.28861,-85.62822,15,3340.880978
4328_shp,42.2884,-85.62698,16,3685.028344
4328_shp,42.2883,-85.62676,17,3754.827271
4328_shp,42.28828,-85.62674,18,3763.905366
4328_shp,42.28823,-85.62655,19,3818.451019
4328_shp,42.28822,-85.62648,20,3837.739718
4328_shp,42.28757,-85.62471,21,4372.064107
4328_shp,42.28724,-85.62411,22,4574.110109
4328_shp,42.28665,-85.62337,23,4867.925876
4328_shp,42.28665,-85.62338,24,4870.631844
4328_shp,42.28649,-85.62322,25,4943.257289
4328_shp,42.28656,-85.62308,26,4988.929388
4328_shp,42.28684,-85.62229,27,5225.805946
4328_shp,42.28683,-85.62201,28,5301.660405
4328_shp,42.28665,-85.62143,29,5471.763537
4328_shp,42.28633,-85.62161,30,5598.144834
4328_shp,42.2858,-85.62184,31,5801.073507
4328_shp,42.28525,-85.62188,32,6001.803079
4328_shp,42.28481,-85.62182,33,6162.972986
4328_shp,42.28443,-85.62153,34,6322.146657
4328_shp,42.28405,-85.62098,35,6525.442901
4328_shp,42.28418,-85.62084,36,6586.104056
4328_shp,42.28428,-85.62063,37,6653.613084
4328_shp,42.28434,-85.61903,38,7087.135674
4328_shp,42.28447,-85.61865,39,7200.354894
4328_shp,42.28438,-85.61846,40,7261.340851
4328_shp,42.28431,-85.61819,41,7338.730049
4328_shp,42.2843,-85.61731,42,7576.891895
4328_shp,42.28425,-85.61731,43,7595.113484
4328_shp,42.2843,-85.6183,44,7863.633285
4328_shp,42.2845,-85.61863,45,7978.902229
4328_shp,42.28442,-85.61876,46,8024.591779
4328_shp,42.28432,-85.6191,47,8123.552618
4328_shp,42.28429,-85.62065,48,8543.135583
4328_shp,42.28407,-85.62097,49,8661.146636
4328_shp,42.28356,-85.62018,50,8944.42447
4328_shp,42.28325,-85.61979,51,9099.025205
4328_shp,42.28299,-85.61961,52,9205.564703
4328_shp,42.28267,-85.61956,53,9322.965169
4328_shp,42.28235,-85.61965,54,9442.09942
4328_shp,42.2823,-85.61969,55,9463.293718
4328_shp,42.2822,-85.61987,56,9524.128302
4328_shp,42.2815,-85.62194,57,10139.657535
4328_shp,42.28069,-85.62497,58,11011.152994
4328_shp,42.28015,-85.62496,59,11207.964629
4328_shp,42.27999,-85.62496,60,11266.273671
4328_shp,42.27991,-85.62489,61,11301.042232
4328_shp,42.2771,-85.62492,62,12325.126687
4328_shp,42.27711,-85.62494,63,12331.651938
4328_shp,42.27696,-85.62491,64,12386.916299
4328_shp,42.27694,-85.62489,65,12395.99496
4328_shp,42.27691,-85.62486,66,12409.612955
4328_shp,42.2769,-85.6227,67,12994.203346
4329_shp,42.29644,-85.6288,1,0
4329_shp,42.29662,-85.62881,2,65.653632
4329_shp,42.29676,-85.6289,3,122.186916
4329_shp,42.29682,-85.62898,4,152.953688
4329_shp,42.29689,-85.62912,5,198.620679
4329_shp,42.29676,-85.62922,6,253.17797
4329_shp,42.29617,-85.62938,7,472.507532
4329_shp,42.29569,-85.62935,8,647.623352
4329_shp,42.29005,-85.62932,9,2703.037718
4329_shp,42.28948,-85.62908,10,2920.678311
4329_shp,42.28883,-85.62847,11,3209.393587
4329_shp,42.28881,-85.62849,12,3218.471655
4329_shp,42.28867,-85.62847,13,3269.778355
4329_shp,42.28863,-85.62831,14,3315.460704
4329_shp,42.28861,-85.62822,15,3340.880978
4329_shp,42.2884,-85.62698,16,3685.028344
4329_shp,42.2883,-85.62676,17,3754.827271
4329_shp,42.28828,-85.62674,18,3763.905366
4329_shp,42.28823,-85.62655,19,3818.451019
4329_shp,42.28822,-85.62648,20,3837.739718
4329_shp,42.28757,-85.62471,21,4372.064107
4329_shp,42.28724,-85.62411,22,4574.110109
4329_shp,42.28665,-85.62337,23,4867.925876
4329_shp,42.28665,-85.62338,24,4870.631844
4329_shp,42.28649,-85.62322,25,4943.257289
4329_shp,42.28656,-85.62308,26,4988.929388
4329_shp,42.28684,-85.62229,27,5225.805946
4329_shp,42.28683,-85.62201,28,5301.660405
4329_shp,42.28665,-85.62143,29,5471.763537
4329_shp,42.28633,-85.62161,30,5598.144834
4329_shp,42.2858,-85.62184,31,5801.073507
4329_shp,42.28525,-85.62188,32,6001.803079
