trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
t258-b12D-sl3,6:00:00,6:00:00,97,0,,0,0,0,1
t258-b12D-sl3,6:02:24,6:02:24,98,144,,0,0,3134.413444,0
t258-b12D-sl3,6:02:54,6:02:54,99,174,,0,0,3889.704257,0
t258-b12D-sl3,6:03:19,6:03:19,100,199,,0,0,4541.766821,0
t258-b12D-sl3,6:04:07,6:04:07,101,247,,0,0,5852.351498,0
t258-b12D-sl3,6:04:51,6:04:51,102,291,,0,0,7084.114722,0
t258-b12D-sl3,6:05:18,6:05:18,103,318,,0,0,7839.695512,0
t258-b12D-sl3,6:06:07,6:06:07,104,367,,0,0,9184.549912,0
t258-b12D-sl3,6:06:44,6:06:44,105,404,,0,0,10170.906389,0
t258-b12D-sl3,6:07:11,6:07:11,106,431,,0,0,10901.953031,0
t258-b12D-sl3,6:07:39,6:07:39,779,459,,0,0,11643.712602,0
t258-b12D-sl3,6:08:54,6:08:54,109,534,,0,0,14498.068434,0
t258-b12D-sl3,6:09:30,6:09:30,110,570,,0,0,15500.257302,0
t258-b12D-sl3,6:10:00,6:10:00,1080,600,,0,0,16283.802287,1
t258-b12D-sl3,6:15:27,6:15:27,111,927,,0,0,20234.088361,0
t258-b12D-sl3,6:17:32,6:17:32,115,1052,,0,0,21280.019656,0
t258-b12D-sl3,6:20:58,6:20:58,116,1258,,0,0,23750.871084,0
t258-b12D-sl3,6:22:37,6:22:37,117,1357,,0,0,24920.709707,0
t258-b12D-sl3,6:24:18,6:24:18,118,1458,,0,0,26108.770399,0
t258-b12D-sl3,6:25:18,6:25:18,780,1518,,0,0,26677.310336,0
t258-b12D-sl3,6:27:13,6:27:13,1074,1633,,0,0,27981.983081,0
t258-b12D-sl3,6:28:35,6:28:35,580,1715,,0,0,28918.578586,0
t258-b12D-sl3,6:30:00,6:30:00,782,1800,,0,0,29889.025959,1
t258-b12D-sl4,6:00:00,6:00:00,97,0,,0,0,0,1
t258-b12D-sl4,6:02:24,6:02:24,98,144,,0,0,3134.413444,0
t258-b12D-sl4,6:02:54,6:02:54,99,174,,0,0,3889.704257,0
t258-b12D-sl4,6:03:19,6:03:19,100,199,,0,0,4541.766821,0
t258-b12D-sl4,6:04:07,6:04:07,101,247,,0,0,5852.351498,0
t258-b12D-sl4,6:04:51,6:04:51,102,291,,0,0,7084.114722,0
t258-b12D-sl4,6:05:18,6:05:18,103,318,,0,0,7839.695512,0
t258-b12D-sl4,6:06:07,6:06:07,104,367,,0,0,9184.549912,0
t258-b12D-sl4,6:06:44,6:06:44,105,404,,0,0,10170.906389,0
t258-b12D-sl4,6:07:11,6:07:11,106,431,,0,0,10901.953031,0
t258-b12D-sl4,6:07:39,6:07:39,779,459,,0,0,11643.712602,0
t258-b12D-sl4,6:08:54,6:08:54,109,534,,0,0,14498.068434,0
t258-b12D-sl4,6:09:30,6:09:30,110,570,,0,0,15500.257302,0
t258-b12D-sl4,6:10:00,6:10:00,1080,600,,0,0,16283.802287,1
t258-b12D-sl4,6:15:27,6:15:27,111,927,,0,0,20234.088361,0
t258-b12D-sl4,6:17:32,6:17:32,115,1052,,0,0,21280.019656,0
t258-b12D-sl4,6:20:58,6:20:58,116,1258,,0,0,23750.871084,0
t258-b12D-sl4,6:22:37,6:22:37,117,1357,,0,0,24920.709707,0
t258-b12D-sl4,6:24:18,6:24:18,118,1458,,0,0,26108.770399,0
t258-b12D-sl4,6:25:18,6:25:18,780,1518,,0,0,26677.310336,0
t258-b12D-sl4,6:27:13,6:27:13,1074,1633,,0,0,27981.983081,0
t258-b12D-sl4,6:28:35,6:28:35,580,1715,,0,0,28918.578586,0
t258-b12D-sl4,6:30:00,6:30:00,782,1800,,0,0,29889.025959,1
t258-b12D-sl9,6:00:00,6:00:00,97,0,,0,0,0,1
t258-b12D-sl9,6:02:24,6:02:24,98,144,,0,0,3134.413444,0
t258-b12D-sl9,6:02:54,6:02:54,99,174,,0,0,3889.704257,0
t258-b12D-sl9,6:03:19,6:03:19,100,199,,0,0,4541.766821,0
t258-b12D-sl9,6:04:07,6:04:07,101,247,,0,0,5852.351498,0
t258-b12D-sl9,6:04:51,6:04:51,102,291,,0,0,7084.114722,0
t258-b12D-sl9,6:05:18,6:05:18,103,318,,0,0,7839.695512,0
t258-b12D-sl9,6:06:07,6:06:07,104,367,,0,0,9184.549912,0
t258-b12D-sl9,6:06:44,6:06:44,105,404,,0,0,10170.906389,0
t258-b12D-sl9,6:07:11,6:07:11,106,431,,0,0,10901.953031,0
t258-b12D-sl9,6:07:39,6:07:39,779,459,,0,0,11643.712602,0
t258-b12D-sl9,6:08:54,6:08:54,109,534,,0,0,14498.068434,0
t258-b12D-sl9,6:09:30,6:09:30,110,570,,0,0,15500.257302,0
t258-b12D-sl9,6:10:00,6:10:00,1080,600,,0,0,16283.802287,1
t258-b12D-sl9,6:15:27,6:15:27,111,927,,0,0,20234.088361,0
t258-b12D-sl9,6:17:32,6:17:32,115,1052,,0,0,21280.019656,0
t258-b12D-sl9,6:20:58,6:20:58,116,1258,,0,0,23750.871084,0
t258-b12D-sl9,6:22:37,6:22:37,117,1357,,0,0,24920.709707,0
t258-b12D-sl9,6:24:18,6:24:18,118,1458,,0,0,26108.770399,0
t258-b12D-sl9,6:25:18,6:25:18,780,1518,,0,0,26677.310336,0
t258-b12D-sl9,6:27:13,6:27:13,1074,1633,,0,0,27981.983081,0
t258-b12D-sl9,6:28:35,6:28:35,580,1715,,0,0,28918.578586,0
t258-b12D-sl9,6:30:00,6:30:00,782,1800,,0,0,29889.025959,1
t267-b191-sl3,6:15:00,6:15:00,1004,0,,0,0,0,1
t267-b191-sl3,6:16:52,6:16:52,138,112,,0,0,4683.111482,0
t267-b191-sl3,6:17:33,6:17:33,139,153,,0,0,6205.754614,0
t267-b191-sl3,6:17:55,6:17:55,140,175,,0,0,7040.684199,0
t267-b191-sl3,6:18:38,6:18:38,1076,218,,0,0,8618.778452,0
t267-b191-sl3,6:19:31,6:19:31,142,271,,0,0,10346.850181,0
t267-b191-sl3,6:20:04,6:20:04,143,304,,0,0,11481.112354,0
t267-b191-sl3,6:20:53,6:20:53,145,353,,0,0,13368.972578,0
t267-b191-sl3,6:22:00,6:22:00,147,420,,0,0,16068.144171,1
t267-b191-sl3,6:22:38,6:22:38,148,458,,0,0,16746.429665,0
t267-b191-sl3,6:23:22,6:23:22,149,502,,0,0,17533.598655,0
t267-b191-sl3,6:24:31,6:24:31,1028,571,,0,0,18827.324822,0
t267-b191-sl3,6:26:00,6:26:00,1029,660,,0,0,20459.9719,0
t267-b191-sl3,6:28:59,6:28:59,1030,839,,0,0,23765.399261,0
t267-b191-sl3,6:31:07,6:31:07,1032,967,,0,0,26245.137595,0
t267-b191-sl3,6:33:00,6:33:00,1033,1080,,0,0,28281.066753,1
t267-b191-sl4,6:15:00,6:15:00,1004,0,,0,0,0,1
t267-b191-sl4,6:16:52,6:16:52,138,112,,0,0,4683.111482,0
t267-b191-sl4,6:17:33,6:17:33,139,153,,0,0,6205.754614,0
t267-b191-sl4,6:17:55,6:17:55,140,175,,0,0,7040.684199,0
t267-b191-sl4,6:18:38,6:18:38,1076,218,,0,0,8618.778452,0
t267-b191-sl4,6:19:31,6:19:31,142,271,,0,0,10346.850181,0
t267-b191-sl4,6:20:04,6:20:04,143,304,,0,0,11481.112354,0
t267-b191-sl4,6:20:53,6:20:53,145,353,,0,0,13368.972578,0
t267-b191-sl4,6:22:00,6:22:00,147,420,,0,0,16068.144171,1
t267-b191-sl4,6:22:38,6:22:38,148,458,,0,0,16746.429665,0
t267-b191-sl4,6:23:22,6:23:22,149,502,,0,0,17533.598655,0
t267-b191-sl4,6:24:31,6:24:31,1028,571,,0,0,18827.324822,0
t267-b191-sl4,6:26:00,6:26:00,1029,660,,0,0,20459.9719,0
t267-b191-sl4,6:28:59,6:28:59,1030,839,,0,0,23765.399261,0
t267-b191-sl4,6:31:07,6:31:07,1032,967,,0,0,26245.137595,0
t267-b191-sl4,6:33:00,6:33:00,1033,1080,,0,0,28281.066753,1
t267-b191-sl9,6:15:00,6:15:00,1004,0,,0,0,0,1
t267-b191-sl9,6:16:52,6:16:52,138,112,,0,0,4683.111482,0
t267-b191-sl9,6:17:33,6:17:33,139,153,,0,0,6205.754614,0
t267-b191-sl9,6:17:55,6:17:55,140,175,,0,0,7040.684199,0
t267-b191-sl9,6:18:38,6:18:38,1076,218,,0,0,8618.778452,0
t267-b191-sl9,6:19:31,6:19:31,142,271,,0,0,10346.850181,0
t267-b191-sl9,6:20:04,6:20:04,143,304,,0,0,11481.112354,0
t267-b191-sl9,6:20:53,6:20:53,145,353,,0,0,13368.972578,0
t267-b191-sl9,6:22:00,6:22:00,147,420,,0,0,16068.144171,1
t267-b191-sl9,6:22:38,6:22:38,148,458,,0,0,16746.429665,0
t267-b191-sl9,6:23:22,6:23:22,149,502,,0,0,17533.598655,0
t267-b191-sl9,6:24:31,6:24:31,1028,571,,0,0,18827.324822,0
t267-b191-sl9,6:26:00,6:26:00,1029,660,,0,0,20459.9719,0
t267-b191-sl9,6:28:59,6:28:59,1030,839,,0,0,23765.399261,0
t267-b191-sl9,6:31:07,6:31:07,1032,967,,0,0,26245.137595,0
t267-b191-sl9,6:33:00,6:33:00,1033,1080,,0,0,28281.066753,1
t267-b1F5-sl3,6:15:00,6:15:00,1004,0,,0,0,0,1
t267-b1F5-sl3,6:15:38,6:15:38,1,38,,0,0,1141.662381,0
t267-b1F5-sl3,6:16:36,6:16:36,1062,96,,0,0,3361.112695,0
t267-b1F5-sl3,6:17:10,6:17:10,185,130,,0,0,4644.309174,0
t267-b1F5-sl3,6:17:46,6:17:46,186,166,,0,0,5981.32469,0
t267-b1F5-sl3,6:18:06,6:18:06,187,186,,0,0,6785.405291,0
t267-b1F5-sl3,6:18:28,6:18:28,188,208,,0,0,7623.061462,0
t267-b1F5-sl3,6:19:06,6:19:06,190,246,,0,0,9160.520913,0
t267-b1F5-sl3,6:19:28,6:19:28,191,268,,0,0,9964.532761,0
t267-b1F5-sl3,6:20:15,6:20:15,193,315,,0,0,11865.690889,0
t267-b1F5-sl3,6:20:35,6:20:35,194,335,,0,0,12436.52706,0
t267-b1F5-sl3,6:20:57,6:20:57,195,357,,0,0,13272.451564,0
t267-b1F5-sl3,6:21:40,6:21:40,197,400,,0,0,15145.066791,0
t267-b1F5-sl3,6:22:00,6:22:00,199,420,,0,0,16105.129411,1
t267-b1F5-sl4,6:15:00,6:15:00,1004,0,,0,0,0,1
t267-b1F5-sl4,6:15:38,6:15:38,1,38,,0,0,1141.662381,0
t267-b1F5-sl4,6:16:36,6:16:36,1062,96,,0,0,3361.112695,0
t267-b1F5-sl4,6:17:10,6:17:10,185,130,,0,0,4644.309174,0
t267-b1F5-sl4,6:17:46,6:17:46,186,166,,0,0,5981.32469,0
t267-b1F5-sl4,6:18:06,6:18:06,187,186,,0,0,6785.405291,0
t267-b1F5-sl4,6:18:28,6:18:28,188,208,,0,0,7623.061462,0
t267-b1F5-sl4,6:19:06,6:19:06,190,246,,0,0,9160.520913,0
t267-b1F5-sl4,6:19:28,6:19:28,191,268,,0,0,9964.532761,0
t267-b1F5-sl4,6:20:15,6:20:15,193,315,,0,0,11865.690889,0
t267-b1F5-sl4,6:20:35,6:20:35,194,335,,0,0,12436.52706,0
t267-b1F5-sl4,6:20:57,6:20:57,195,357,,0,0,13272.451564,0
t267-b1F5-sl4,6:21:40,6:21:40,197,400,,0,0,15145.066791,0
t267-b1F5-sl4,6:22:00,6:22:00,199,420,,0,0,16105.129411,1
t267-b1F5-sl9,6:15:00,6:15:00,1004,0,,0,0,0,1
t267-b1F5-sl9,6:15:38,6:15:38,1,38,,0,0,1141.662381,0
t267-b1F5-sl9,6:16:36,6:16:36,1062,96,,0,0,3361.112695,0
t267-b1F5-sl9,6:17:10,6:17:10,185,130,,0,0,4644.309174,0
t267-b1F5-sl9,6:17:46,6:17:46,186,166,,0,0,5981.32469,0
t267-b1F5-sl9,6:18:06,6:18:06,187,186,,0,0,6785.405291,0
t267-b1F5-sl9,6:18:28,6:18:28,188,208,,0,0,7623.061462,0
t267-b1F5-sl9,6:19:06,6:19:06,190,246,,0,0,9160.520913,0
t267-b1F5-sl9,6:19:28,6:19:28,191,268,,0,0,9964.532761,0
t267-b1F5-sl9,6:20:15,6:20:15,193,315,,0,0,11865.690889,0
t267-b1F5-sl9,6:20:35,6:20:35,194,335,,0,0,12436.52706,0
t267-b1F5-sl9,6:20:57,6:20:57,195,357,,0,0,13272.451564,0
t267-b1F5-sl9,6:21:40,6:21:40,197,400,,0,0,15145.066791,0
t267-b1F5-sl9,6:22:00,6:22:00,199,420,,0,0,16105.129411,1
t267-b259-sl3,6:15:00,6:15:00,1011,0,,0,0,0,1
t267-b259-sl3,6:15:13,6:15:13,1,13,,0,0,848.958742,0
t267-b259-sl3,6:15:52,6:15:52,1062,52,,0,0,3068.409056,0
t267-b259-sl3,6:16:16,6:16:16,185,76,,0,0,4351.605535,0
t267-b259-sl3,6:16:40,6:16:40,186,100,,0,0,5688.621051,0
t267-b259-sl3,6:16:55,6:16:55,336,115,,0,0,6507.485211,0
t267-b259-sl3,6:17:16,6:17:16,337,136,,0,0,7647.044119,0
t267-b259-sl3,6:18:08,6:18:08,1088,188,,0,0,10853.299169,0
t267-b259-sl3,6:19:06,6:19:06,1089,246,,0,0,14125.211387,0
t267-b259-sl3,6:19:24,6:19:24,1090,264,,0,0,15101.182918,0
t267-b259-sl3,6:19:34,6:19:34,247,274,,0,0,15620.698245,0
t267-b259-sl3,6:20:00,6:20:00,248,300,,0,0,17048.744262,1
t267-b259-sl3,6:22:05,6:22:05,1091,425,,0,0,19401.029169,0
t267-b259-sl3,6:23:07,6:23:07,1093,487,,0,0,20975.226981,0
t267-b259-sl3,6:23:47,6:23:47,1094,527,,0,0,21671.317513,0
t267-b259-sl3,6:24:21,6:24:21,1095,561,,0,0,22239.84163,0
t267-b259-sl3,6:25:38,6:25:38,225,638,,0,0,23635.155195,0
t267-b259-sl3,6:26:43,6:26:43,227,703,,0,0,24901.904001,0
t267-b259-sl3,6:27:45,6:27:45,228,765,,0,0,26010.541382,0
t267-b259-sl3,6:28:40,6:28:40,229,820,,0,0,27027.269266,0
t267-b259-sl3,6:30:00,6:30:00,230,900,,0,0,28514.466223,1
t267-b259-sl3,6:31:07,6:31:07,232,967,,0,0,29915.140209,0
t267-b259-sl3,6:32:04,6:32:04,233,1024,,0,0,31048.122491,0
t267-b259-sl3,6:34:24,6:34:24,234,1164,,0,0,33919.820836,0
t267-b259-sl3,6:37:11,6:37:11,235,1331,,0,0,37289.0673,0
t267-b259-sl3,6:40:00,6:40:00,1012,1500,,0,0,40717.516216,1
t267-b259-sl4,6:15:00,6:15:00,1011,0,,0,0,0,1
t267-b259-sl4,6:15:13,6:15:13,1,13,,0,0,848.958742,0
t267-b259-sl4,6:15:52,6:15:52,1062,52,,0,0,3068.409056,0
t267-b259-sl4,6:16:16,6:16:16,185,76,,0,0,4351.605535,0
t267-b259-sl4,6:16:40,6:16:40,186,100,,0,0,5688.621051,0
t267-b259-sl4,6:16:55,6:16:55,336,115,,0,0,6507.485211,0
t267-b259-sl4,6:17:16,6:17:16,337,136,,0,0,7647.044119,0
t267-b259-sl4,6:18:08,6:18:08,1088,188,,0,0,10853.299169,0
t267-b259-sl4,6:19:06,6:19:06,1089,246,,0,0,14125.211387,0
t267-b259-sl4,6:19:24,6:19:24,1090,264,,0,0,15101.182918,0
t267-b259-sl4,6:19:34,6:19:34,247,274,,0,0,15620.698245,0
t267-b259-sl4,6:20:00,6:20:00,248,300,,0,0,17048.744262,1
t267-b259-sl4,6:22:05,6:22:05,1091,425,,0,0,19401.029169,0
t267-b259-sl4,6:23:07,6:23:07,1093,487,,0,0,20975.226981,0
t267-b259-sl4,6:23:47,6:23:47,1094,527,,0,0,21671.317513,0
t267-b259-sl4,6:24:21,6:24:21,1095,561,,0,0,22239.84163,0
t267-b259-sl4,6:25:38,6:25:38,225,638,,0,0,23635.155195,0
t267-b259-sl4,6:26:43,6:26:43,227,703,,0,0,24901.904001,0
t267-b259-sl4,6:27:45,6:27:45,228,765,,0,0,26010.541382,0
t267-b259-sl4,6:28:40,6:28:40,229,820,,0,0,27027.269266,0
t267-b259-sl4,6:30:00,6:30:00,230,900,,0,0,28514.466223,1
t267-b259-sl4,6:31:07,6:31:07,232,967,,0,0,29915.140209,0
t267-b259-sl4,6:32:04,6:32:04,233,1024,,0,0,31048.122491,0
t267-b259-sl4,6:34:24,6:34:24,234,1164,,0,0,33919.820836,0
t267-b259-sl4,6:37:11,6:37:11,235,1331,,0,0,37289.0673,0
t267-b259-sl4,6:40:00,6:40:00,1012,1500,,0,0,40717.516216,1
t267-b259-sl9,6:15:00,6:15:00,1011,0,,0,0,0,1
