route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,9,t5A5-b67-sl9,"KTC to xroads",,103,4599_shp,0,0
1,9,t5EB-b66-sl9,"KTC to xroads",,102,4599_shp,0,0
1,9,t5EB-b67-sl9,"xroads to KTC",,103,4596_shp,0,0
1,9,t609-b66-sl9,"xroads to KTC",,102,4596_shp,0,0
1,9,t609-b67-sl9,"KTC to xroads",,103,4599_shp,0,0
1,9,t64F-b66-sl9,"KTC to xroads",,102,4599_shp,0,0
1,9,t64F-b67-sl9,"xroads to KTC",,103,4596_shp,0,0
1,9,t66D-b66-sl9,"xroads to KTC",,102,4596_shp,0,0
1,9,t66D-b67-sl9,"KTC to xroads",,103,4599_shp,0,0
1,9,t6B3-b66-sl9,"KTC to xroads",,102,4599_shp,0,0
1,9,t6B3-b67-sl9,"xroads to KTC",,103,4596_shp,0,0
1,9,t6D1-b66-sl9,"xroads to KTC",,102,4596_shp,0,0
1,9,t717-b66-sl9,"KTC to xroads",,102,4599_shp,0,0
1,9,t735-b66-sl9,"xroads to KTC",,102,4596_shp,0,0
1,9,t77B-b66-sl9,"KTC to xroads",,102,4599_shp,0,0
1,9,t799-b66-sl9,"xroads to KTC",,102,4596_shp,0,0
1,9,t7DF-b66-sl9,"KTC to xroads",,102,4599_shp,0,0
1,9,t7FD-b66-sl9,"xroads to KTC",,102,4596_shp,0,0
1,9,t843-b66-sl9,"KTC to xroads",,102,4599_shp,0,0
1,9,t861-b66-sl9,"xroads to KTC",,102,4596_shp,0,0
2,3,t267-bC9-sl3,"KTC - Ptg Ind Pk",,201,4451_shp,0,0
2,3,t285-bC9-sl3,"Ptg Ind Pk - KTC",,201,4448_shp,0,0
2,3,t2CB-bC9-sl3,"KTC - Ptg Ind Pk",,201,4451_shp,0,0
2,3,t2E9-bC9-sl3,"Ptg Ind Pk - KTC",,201,4448_shp,0,0
2,3,t32F-bC9-sl3,"KTC - Ptg Ind Pk",,201,4451_shp,0,0
2,3,t34D-bC9-sl3,"Ptg Ind Pk - KTC",,201,4448_shp,0,0
2,3,t393-bC9-sl3,"KTC - Ptg Ind Pk",,201,4451_shp,0,0
2,3,t3B1-bC9-sl3,"Ptg Ind Pk - KTC",,201,4448_shp,0,0
2,3,t3F7-bC9-sl3,"KTC - Ptg Ind Pk",,201,4451_shp,0,0
2,3,t415-bC9-sl3,"Ptg Ind Pk - KTC",,201,4448_shp,0,0
2,3,t45B-bC9-sl3,"KTC - Ptg Ind Pk",,201,4451_shp,0,0
2,3,t479-bC9-sl3,"Ptg Ind Pk - KTC",,201,4448_shp,0,0
2,3,t4BF-bC9-sl3,"KTC - Ptg Ind Pk",,201,4451_shp,0,0
2,3,t4DD-bC9-sl3,"Ptg Ind Pk - KTC",,201,4448_shp,0,0
2,3,t523-bC9-sl3,"KTC - Ptg Ind Pk",,201,4451_shp,0,0
2,3,t541-bC9-sl3,"Ptg Ind Pk - KTC",,201,4448_shp,0,0
2,3,t587-bC9-sl3,"KTC - Ptg Ind Pk",,201,4451_shp,0,0
2,3,t5A5-bC9-sl3,"Ptg Ind Pk - KTC",,201,4448_shp,0,0
2,3,t5EB-bC9-sl3,"KTC - Ptg Ind Pk",,201,4451_shp,0,0
2,3,t609-bC9-sl3,"Ptg Ind Pk - KTC",,201,4448_shp,0,0
2,3,t64F-bC9-sl3,"KTC - Ptg Ind Pk",,201,4451_shp,0,0
